id,sales_date,sales_amount
1,2024-01-01,4986
2,2024-01-02,5143
3,2024-01-03,3872
4,2024-01-04,6210
5,2024-01-05,4500
6,2024-01-06,5980
7,2024-01-07,3100
8,2024-01-08,7200
9,2024-01-09,4850
10,2024-01-10,5600
11,2024-01-11,6340
12,2024-01-12,4120
13,2024-01-13,5780
14,2024-01-14,4950
15,2024-01-15,6100
16,2024-01-16,3800
17,2024-01-17,5200
18,2024-01-18,4700
19,2024-01-19,6500
20,2024-01-20,5050
21,2024-01-21,4300
22,2024-01-22,5900
23,2024-01-23,4100
24,2024-01-24,6700
25,2024-01-25,5400
26,2024-01-26,4800
27,2024-01-27,3600
28,2024-01-28,5700
29,2024-01-29,6200
30,2024-01-30,4900
31,2024-01-31,5100
32,2024-02-01,5300
33,2024-02-02,4600
34,2024-02-03,6800
35,2024-02-04,5000
36,2024-02-05,4400
37,2024-02-06,5600
38,2024-02-07,3900
39,2024-02-08,6100
40,2024-02-09,5200
41,2024-02-10,4700
42,2024-02-11,5800
43,2024-02-12,4300
44,2024-02-13,6400
45,2024-02-14,7100
46,2024-02-15,5500
47,2024-02-16,4200
48,2024-02-17,5900
49,2024-02-18,4800
50,2024-02-19,6300
51,2024-02-20,5100
52,2024-02-21,4500
53,2024-02-22,5700
54,2024-02-23,4000
55,2024-02-24,6600
56,2024-02-25,5300
57,2024-02-26,4900
58,2024-02-27,3700
59,2024-02-28,5400
60,2024-02-29,5800
61,2024-03-01,6200
62,2024-03-02,4700
63,2024-03-03,5500
64,2024-03-04,4100
65,2024-03-05,6900
66,2024-03-06,5200
67,2024-03-07,4600
68,2024-03-08,5800
69,2024-03-09,4300
70,2024-03-10,6500
71,2024-03-11,5000
72,2024-03-12,4800
73,2024-03-13,5700
74,2024-03-14,4400
75,2024-03-15,6100
76,2024-03-16,5300
77,2024-03-17,4900
78,2024-03-18,3800
79,2024-03-19,5600
80,2024-03-20,6300
81,2024-03-21,4700
82,2024-03-22,5100
83,2024-03-23,4500
84,2024-03-24,6700
85,2024-03-25,5400
86,2024-03-26,4200
87,2024-03-27,5800
88,2024-03-28,4600
89,2024-03-29,6400
90,2024-03-30,5200
91,2024-03-31,4800
